0.001	0.0327	0.008	0.0586	0.0331	0.0048	





0.0649	0.0375	0.0145	0.0676	0.0324	0.0233	
6.1934	2.9375	0.1712	4.8389	0.3454	0.0702	
707.691	282.857	1.9801	564.788	4.2646	0.3324	





0.0736	0.0377	0.0144	0.0679	0.0324	0.0235	
6.3416	3.0156	0.1726	4.8627	0.3759	0.0693	
735.396	414.093	2.6183	623.697	4.5175	0.3347	





0.0793	0.0388	0.0138	0.0681	0.0352	0.0241	
6.1202	3.3503	0.1975	5.4711	0.3509	0.0687	
701.876	289.036	2.0216	564.764	4.3832	0.3342	





0.0754	0.0379	0.0137	0.0682	0.0335	0.0345	
6.0787	2.9161	0.179	4.8488	0.3718	0.0684	
699.975	282.708	2.0057	560.307	4.3321	0.334	





0.0806	0.0383	0.0146	0.0681	0.035	0.0237	
6.1972	2.9735	0.1765	4.8485	0.3695	0.0688	
703.934	283.436	1.9782	558.951	4.1189	0.3346	





0.0677	0.053	0.0139	0.073	0.0341	0.0228	
6.1544	2.9309	0.1812	4.8402	0.3494	0.069	
704.858	285.099	1.9776	570.625	4.1505	0.3367	





0.0778	0.0378	0.0138	0.0669	0.0336	0.0236	
6.1162	2.9222	0.1747	4.8124	0.4366	0.071	
708.014	283.431	2.1311	566.973	4.406	0.3739	





6.1442	3.0609	0.1809	4.9121	0.3808	0.0761	
697.509	288.724	2.1417	565.356	4.1906	0.3309	
72457.2	29762.1	22.492	47698.3	44.6556	2.8034	





0.0812	0.0374	0.0144	0.0672	0.035	0.0242	
6.4778	2.9515	0.1772	7.0364	0.369	0.0704	
726.008	294.805	2.0149	562.331	4.1719	0.3299	





6.5784	2.9685	0.1713	4.8738	0.3755	0.0688	
717.932	291.972	1.9596	562.242	4.8295	0.3305	
74780	28916.6	21.7503	47844	46.8314	2.7381	





6.6175	3.203	0.4601	5.5248	0.7	0.3351	
708.75	280.999	2.3877	624.835	4.5973	0.5622	
73208	28433.7	23.2228	52608.5	44.5868	2.3826	





8.3347	3.3641	0.4398	5.5399	0.6414	0.4461	
697.659	281.233	2.4699	606.306	4.4372	0.5434	
73855.3	28321	22.6458	52754.2	47.304	2.3992	





6.481	3.1524	0.5033	5.4982	0.7082	0.3996	
711.605	282.078	2.3791	622.374	4.4904	0.5657	
73973.5	28276.5	22.9153	51959.5	43.9772	2.7172	





